country,total_wealth,number_of_billionaires
Algeria,4600,1
Andorra,1500,1
Argentina,11000,4
Armenia,1200,1
Australia,173500,43
Austria,75400,11
Bahamas,8200,2
Bahrain,1500,1
Belgium,41200,3
Bermuda,4600,2
Brazil,104800,44
British Virgin Islands,3400,1
Cambodia,2800,1
Canada,173900,42
Cayman Islands,10900,3
Chile,36400,6
China,1805500,523
Colombia,6400,1
Cyprus,9600,5
Czech Republic,42800,7
Denmark,40900,7
Egypt,13500,4
Eswatini (Swaziland),6500,1
Finland,14000,7
France,499500,35
Georgia,4900,1
Germany,462100,102
Greece,9100,3
Guernsey,2300,1
Hong Kong,321500,68
Hungary,3900,3
India,628700,157
Indonesia,123900,25
Ireland,9600,4
Israel,72500,26
Italy,156900,55
Japan,146800,38
Kazakhstan,26300,7
Latvia,4200,1
Lebanon,5600,2
Liechtenstein,2300,1
Luxembourg,3500,1
Malaysia,33100,11
Mexico,165700,13
Monaco,68000,17
Morocco,2800,2
Nepal,1800,1
Netherlands,24700,10
New Zealand,10100,2
Nigeria,28500,3
Norway,27100,9
Oman,2700,1
Peru,2500,2
Philippines,41400,14
Poland,18300,5
Portugal,4700,1
Qatar,3000,2
Romania,4800,3
Russia,351000,79
Singapore,138000,46
Slovakia,3100,2
South Africa,25600,5
South Korea,81400,29
Spain,133700,25
Sweden,90900,26
Switzerland,409900,78
Taiwan,117900,43
Tanzania,1500,1
Thailand,100700,28
Turkey,55700,25
Turks and Caicos Islands,2000,1
Ukraine,12600,6
United Arab Emirates,99400,17
United Kingdom,370700,82
United States of America,4575100,754
Uruguay,1800,1
Uzbekistan,14400,1
Vietnam,12600,6
